"Date","DJI_returns","Category"
1885-02-17,0.0132962441720981,"no crisis"
1885-02-18,0.00439096467542477,"no crisis"
1885-02-19,0.00640056404440159,"no crisis"
1885-02-20,-0.00796496222925791,"no crisis"
1885-02-21,0.0147858375675192,"no crisis"
1885-02-24,0.0136553096472056,"no crisis"
1885-02-25,0.0158730812646639,"no crisis"
1885-02-26,-0.0158730812646639,"no crisis"
1885-02-27,-0.0176830631978295,"no crisis"
1885-02-28,0.00418137903394467,"no crisis"
1885-03-02,0.00138782961685635,"no crisis"
1885-03-03,-0.0035533040270268,"no crisis"
1885-03-04,-0.00824015817605472,"no crisis"
1885-03-05,0.00669006519025706,"no crisis"
1885-03-06,-0.00217354410921544,"no crisis"
1885-03-07,0.0152656087032557,"no crisis"
1885-03-09,0.00275098217877678,"no crisis"
1885-03-10,0.000151750472962675,"no crisis"
1885-03-11,0.00684195409573585,"no crisis"
1885-03-12,-0.00913304789337754,"no crisis"
1885-03-13,-0.00736760014509441,"no crisis"
1885-03-14,0.00461071824245529,"no crisis"
1885-03-16,-0.00445751831781793,"no crisis"
1885-03-17,-0.0105282986872508,"no crisis"
1885-03-18,-0.0057761962082914,"no crisis"
1885-03-19,-0.0126055313897293,"no crisis"
1885-03-20,-0.00238092665719769,"no crisis"
1885-03-21,-0.0134409359869383,"no crisis"
1885-03-23,0.00786437666419193,"no crisis"
1885-03-24,-0.0112505692250964,"no crisis"
1885-03-25,0.00836926112625047,"no crisis"
1885-03-26,0.00829979755115451,"no crisis"
1885-03-27,0.000316114758740493,"no crisis"
1885-03-28,-0.00142976352575763,"no crisis"
1885-03-30,-0.0116854765858725,"no crisis"
1885-03-31,0.00353595853876909,"no crisis"
1885-04-01,0.00112275643588866,"no crisis"
1885-04-02,0.00176132476324176,"no crisis"
1885-04-04,-0.000799036002379072,"no crisis"
1885-04-06,-0.000962288760862684,"no crisis"
1885-04-07,-0.0130658760822131,"no crisis"
1885-04-08,0.00356575806342274,"no crisis"
1885-04-09,0.0246105195460693,"no crisis"
1885-04-10,-0.010631939303658,"no crisis"
1885-04-11,0.0167675059198977,"no crisis"
1885-04-13,-0.000627477481565553,"no crisis"
1885-04-14,0.0042318180299552,"no crisis"
1885-04-15,0.0178169048106378,"no crisis"
1885-04-16,-0.00925876006127391,"no crisis"
1885-04-17,-0.00668482911531765,"no crisis"
1885-04-18,-0.00610513366400145,"no crisis"
1885-04-20,0.00610513366400145,"no crisis"
1885-04-21,-0.00250170953708784,"no crisis"
1885-04-22,0.00297028195117877,"no crisis"
1885-04-23,0.00124634653174915,"no crisis"
1885-04-24,-0.00468341889457413,"no crisis"
1885-04-25,-0.00109638505852727,"no crisis"
1885-04-27,0.00219156937321507,"no crisis"
1885-04-28,0.00234188804813718,"no crisis"
1885-04-29,0.00124634653174915,"no crisis"
1885-04-30,0.00310908718679004,"no crisis"
1885-05-01,-0.00669732176667637,"no crisis"
1885-05-02,-0.00266227136394281,"no crisis"
1885-05-04,-0.0249173873333817,"no crisis"
1885-05-05,-0.00499264566151503,"no crisis"
1885-05-06,0.0102817184837289,"no crisis"
1885-05-07,-0.0104423413072663,"no crisis"
1885-05-08,0.0136360421363881,"no crisis"
1885-05-09,0.00714393478281261,"no crisis"
1885-05-11,-0.0112951403306094,"no crisis"
1885-05-12,-0.00449139092886153,"no crisis"
1885-05-13,0,"no crisis"
1885-05-14,0,"no crisis"
1885-05-15,0.00704702102717869,"no crisis"
1885-05-16,0.00509497211473109,"no crisis"
1885-05-18,0.00206032973762271,"no crisis"
1885-05-19,0.000160784629335886,"no crisis"
1885-05-20,-0.0050836393758793,"no crisis"
1885-05-21,0.00587432348735994,"no crisis"
1885-05-22,0.00756976810098298,"no crisis"
1885-05-23,0.00392073748662725,"no crisis"
1885-05-25,-0.0133911302140679,"no crisis"
1885-05-26,0.00411506689842911,"no crisis"
1885-05-27,-0.00538738292650098,"no crisis"
1885-05-28,-0.00349996159912846,"no crisis"
1885-05-29,-0.00751581771021215,"no crisis"
1885-06-01,-0.00482814979367951,"no crisis"
1885-06-02,0.00578903531540842,"no crisis"
1885-06-03,0.00623791037925692,"no crisis"
1885-06-04,-0.00639745116261459,"no crisis"
1885-06-05,-0.00789150875392064,"no crisis"
1885-06-06,0.00258287124025935,"no crisis"
1885-06-08,-0.00436329493885612,"no crisis"
1885-06-09,0.00323329024946428,"no crisis"
1885-06-10,0.00241894290067313,"no crisis"
1885-06-11,0.00897958708120461,"no crisis"
1885-06-12,0.0050966022625798,"no crisis"
1885-06-13,0.000953734296208264,"no crisis"
1885-06-15,0.00774431711391754,"no crisis"
1885-06-16,-0.00347014712188276,"no crisis"
1885-06-17,0,"no crisis"
1885-06-18,0.00598518922127234,"no crisis"
1885-06-19,0.00720045671938863,"no crisis"
1885-06-20,0.008075515822076,"no crisis"
1885-06-22,-0.0130788972691849,"no crisis"
1885-06-23,-0.00203770459487185,"no crisis"
1885-06-24,0.0109325348300717,"no crisis"
1885-06-25,-0.00623297324226169,"no crisis"
1885-06-26,-0.0069011233517875,"no crisis"
1885-06-27,-0.00663070135033195,"no crisis"
1885-06-29,-0.00987171658000685,"no crisis"
1885-06-30,-0.00224317389249107,"no crisis"
1885-07-01,-0.0065960499724742,"no crisis"
1885-07-02,-0.00745478236313701,"no crisis"
1885-07-03,0.0108366113796863,"no crisis"
1885-07-06,0,"no crisis"
1885-07-07,-0.00354237395227441,"no crisis"
1885-07-08,0.0166503710137387,"no crisis"
1885-07-09,0.00206032973762271,"no crisis"
1885-07-10,0,"no crisis"
1885-07-11,0.0193043460407978,"no crisis"
1885-07-13,0.0137375340845542,"no crisis"
1885-07-14,0.00428147838553228,"no crisis"
1885-07-15,0.0140988872019001,"no crisis"
1885-07-16,-0.00528339291864732,"no crisis"
